Название,Цена,Старая цена,Скидка,Бонусы за покупку,Процессор,Видеокарта,Оперативная память,Накопитель,Экран,Операционная система,Ссылка
HP Pavilion Gaming 17-cd2080ur (638F8EA),119999,145499,18,3600,Intel Core i5-11300H 3.1 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 17.3""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-pavilion-gaming-17-cd2080ur-638f8ea/
DREAM-MACHINES RG3050Ti-17RU20,146499,Нет,Нет,4395,Intel Core i5-11400H 2.7 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,16 ГБ DDR4,500 ГБ SSD,"1920x1080 17.3""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-dream-machines-rg3050ti-17ru20/
Haier GG1505A,79999,96999,18,2400,Intel Core i5-11400H 2.2 ГГц,NVIDIA GTX 1650 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 11 Домашняя,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-haier-gg1505a/
HP Victus 16-e0146u (638F1EA),99999,149999,33,3000,AMD Ryzen 5 5600H 3.3 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 16.1""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-victus-16-e0146u-638f1ea/
HP Omen 16-c0004ur (491L9EA),119999,144999,17,3600,AMD Ryzen 5 5600H 3.3 ГГц,AMD Radeon RX 6600M 8 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 16.1""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-omen-16-c0004ur-491l9ea/
Lenovo IdeaPad Gaming 3 (82K1005DRK),104999,Нет,Нет,3150,Intel Core i5-11300H 3.1 ГГц,NVIDIA GeForce RTX 3050 Ti 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-ideapad-gaming-3-82k1005drk/
Thunderobot 911 Air D (JT0098E06RU),74999,Нет,Нет,2250,Intel  2.6 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,8 ГБ DDR4,256 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-thunderobot-911-air-d-jt0098e06ru/
Haier GG1502XD,99999,Нет,Нет,3000,Intel Core i5-11400H 2.4 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-haier-gg1502xd/
ASUS ProArt StudioBook 16 OLED H7600HM-L2064W (90NB0VD1-M003D0),279999,Нет,Нет,8400,Intel Core i7-11800H 2.3 ГГц,NVIDIA GeForce RTX 3060 6 ГБ,16 ГБ DDR4,1 ТБ SSD,"3840x2400 16""",Windows 11 Домашняя,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-proart-studiobook-16-oled-h7600hm-l2064w-90nb0vd1-m003d0/
Haier GG1505AD,79999,Нет,Нет,2400,Intel Core i5-11400H 2.2 ГГц,NVIDIA GTX 1650 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-haier-gg1505ad/
